channel,mean_rms,median_rms,mean_std,median_std,mean_peak_to_peak,median_peak_to_peak
0,37.490281179074415,36.14830946086233,36.7813356990001,35.44500846192706,215.4804145633526,209.96808393614307
1,25.79837059623195,21.2731733534333,23.61118932629038,18.717276649284138,101.06006078766028,83.70321394432409
2,33.42795218359267,32.40091926426918,33.00407756732476,32.028762432949904,197.36601959935078,192.46700949975218
3,15.854878831826758,13.18551693297396,14.605568320170642,11.721980292541048,68.67274287251465,58.47619013741307
4,30.263796961913382,29.24089764595129,29.756552929261687,28.725083907943166,183.29047799527055,177.986044348184
5,16.887449437223506,13.901614111826296,15.650049687243222,12.62057246475334,72.65658873903892,61.57688233589345
6,27.632317710037693,26.509214465416886,27.38798594307914,26.268082652060897,169.34363264166367,164.2663880438457
7,13.462584262873225,10.976225489547616,12.578685627494842,9.901064233012217,61.5090738252382,52.06528988392108
8,24.9038677734211,23.66389103853018,24.745851768690866,23.484886969908104,153.93058385229094,147.64161826180526
9,12.288269027452367,10.156417574981088,11.401776783776253,9.20586459962393,56.66587888328319,48.40992863821693
10,22.002004297274933,20.76092619919433,21.73721103750464,20.38799793873237,137.54883394962698,131.94159807274735
11,14.233778730220795,11.653388188294304,13.299647576331493,10.564766037595602,63.792046709539015,54.30052453965537
12,21.01299765569233,19.960418215814816,20.483049508911158,19.4509608588743,127.20358193102439,122.64928328666113
13,7.841988638526002,7.423849366237865,7.5701410597751835,7.124749782115007,47.83144594975105,45.44376017287192
14,18.585595985091803,17.65223262832704,18.162348375674995,17.245358578753546,112.40604830962914,107.74377315170504
15,9.00189327849122,8.36658500478978,8.605579289798184,8.024963869573547,53.02773835702666,50.30632492629108
16,14.915128663318004,14.047689966239622,14.456114762186473,13.602672415792417,90.14207312635723,85.9821451378296
17,7.326321826940698,7.131624519234398,7.215643000899289,6.988443424658611,47.58225151039649,45.83064982310886
18,10.801679782890544,9.854915489791107,10.716361856678038,9.794308808994728,69.7085274437697,65.73896185695705
19,7.402560884220342,7.184670303059246,7.295820963350231,7.079338158149378,46.39668995206623,44.89091711566883
20,14.532126500096933,13.29832315705327,13.704257982302025,12.426075816450041,74.42015763721498,70.86851483642678
21,7.990785255444993,7.781125405238397,7.840842802961392,7.632717956292886,51.80788030825652,49.805661945630256
22,8.701046626704018,8.34115452232238,8.504206060848066,8.152633554694006,53.22090750761362,51.404832414618895
23,10.15482796449839,9.626466111543733,9.783441521984185,9.172505480324872,61.1312973035083,58.72590669596061
24,7.207629469515077,6.993157269634222,7.106950245760651,6.897829309347179,46.184255250904634,44.98137394843537
25,8.165244589828866,7.887994963450765,8.002895642586829,7.6731704371035985,51.36098610699674,48.90868912315145
26,10.346432143059022,9.304235202637567,9.814292947932444,8.64898369806852,55.90554538453255,52.776074873956134
27,13.975223237682188,12.316985822293233,12.475361746700091,10.98710198641459,68.72045444500243,64.75892389419151
28,7.290773893153598,6.811968889693876,7.103231999990125,6.64965906122633,44.01813487067325,42.247586747110674
29,10.148256466218413,9.641687233131977,9.849140947043402,9.35677947395417,58.947360559048306,56.542842957146085
30,8.044543805002691,7.341459960946452,7.750217106592276,6.984091395150164,46.23547280021523,43.394519005957555
31,12.30167070414683,11.56903794880473,11.934695419838935,11.197611542193581,71.17879965237807,68.01237222272043
