channel,cropped_samples,mean_off_diagonal_correlation,median_off_diagonal_correlation
0,705,0.0016697096301719198,0.0011459209191084095
1,705,0.0015207300669995223,0.0055754279467427215
2,705,0.0016497788436434246,0.0018044414091988527
3,705,0.0020854521160375973,0.006850192954953217
4,705,0.0016841089930410306,0.000915665851574829
5,705,0.001743002663127758,0.007262435125362346
6,705,0.0014852222294507386,0.0013949307528872525
7,705,0.002119311938494314,0.0033242668723335094
8,705,0.0008607712388868533,-0.00023897794836127699
9,705,-0.0010154701792574495,-0.002545776085215564
10,705,0.00032347019868290207,-0.00012078141431010678
11,705,0.0025250162648625023,0.0025812577711769816
12,705,0.0013463353275643011,0.0015557394942991225
13,705,-0.00026304041716102125,0.001019756807523043
14,705,0.00027125096368429025,0.00121332134502404
15,705,0.002699273754164398,0.005255295266161259
16,705,0.0005673222438216938,-0.0006686367849114859
17,705,0.0004240345509342139,0.0005411364845158361
18,705,9.726695650930217e-05,-0.0016022652229354436
19,705,0.0004446672563440627,0.0015989303505886576
20,705,0.0009730693363016076,0.003352700139326457
21,705,-0.0010379762938057013,-0.003029488718578709
22,705,-0.001182949946191485,-0.0023122346438213875
23,705,-0.002034513162564881,-0.0011105735353616941
24,705,-0.0013940839533282743,-0.0022232698893908153
25,705,0.0007280608280483956,0.00021165926569636045
26,705,-4.8505280340066445e-05,0.0010554988475821943
27,705,0.0018277335890531285,0.0012440117867910142
28,705,0.0013066805920525567,-0.0018508531737112706
29,705,-2.8542180866154043e-05,-0.0013736360941035914
30,705,-0.0008695789931237152,0.002119284031217993
31,705,-0.0005761461650361196,-2.3080267458109973e-05
