channel,fixation_trials,goodFix_fixation_trials,bad_or_not_goodFix_fixation_trials,percent_goodFix_fixation
0,50,37,13,74.0
1,50,37,13,74.0
2,50,37,13,74.0
3,50,37,13,74.0
4,50,37,13,74.0
5,50,37,13,74.0
6,50,37,13,74.0
7,50,37,13,74.0
8,50,37,13,74.0
9,50,37,13,74.0
10,50,37,13,74.0
11,50,37,13,74.0
12,50,37,13,74.0
13,50,37,13,74.0
14,50,37,13,74.0
15,50,37,13,74.0
16,50,37,13,74.0
17,50,37,13,74.0
18,50,37,13,74.0
19,50,37,13,74.0
20,50,37,13,74.0
21,50,37,13,74.0
22,50,37,13,74.0
23,50,37,13,74.0
24,50,37,13,74.0
25,50,37,13,74.0
26,50,37,13,74.0
27,50,37,13,74.0
28,50,37,13,74.0
29,50,37,13,74.0
30,50,37,13,74.0
31,50,37,13,74.0
