dataset,n_delays,train_trials,test_trials,min_test_embedded_samples,train_r2,test_r2,nonzero_terms
mixed_first30,2,22,8,60,-0.1117,-0.0378,6
mixed_first30,4,22,8,50,-0.1366,-0.0754,16
mixed_first30,6,22,8,40,-0.1509,-0.0911,36
mixed_first30,8,22,8,30,-0.1559,-0.0957,60
mixed_first30,10,22,8,20,-0.156,-0.0963,87
mixed_first30,12,22,8,10,-0.1542,-0.1114,124
fixation_only_50,2,38,12,700,-0.1774,-0.1178,6
fixation_only_50,4,38,12,690,-0.2656,-0.1768,19
fixation_only_50,6,38,12,680,-0.3014,-0.1988,37
fixation_only_50,8,38,12,670,-0.3216,-0.2121,58
fixation_only_50,10,38,12,660,-0.3334,-0.22,93
fixation_only_50,12,38,12,650,-0.3397,-0.2221,124
non_fixation_first30,2,22,8,60,-0.1081,-0.0558,6
non_fixation_first30,4,22,8,50,-0.0904,-0.0641,23
non_fixation_first30,6,22,8,40,-0.1043,-0.1443,49
non_fixation_first30,8,22,8,30,-0.147,-0.367,143
non_fixation_first30,10,22,8,20,-0.2171,-0.7511,267
non_fixation_first30,12,22,8,10,-0.4272,-1.9999,531
