channel,n_delays,delay_samples_after_downsample,threshold,degree,random_seed,train_trials,test_trials,train_score_r2,test_score_r2,train_rmse,test_rmse,nonzero_terms,eigenvalues,max_real_eigenvalue,linear_stability_status,error
0,2,1,0.05,1,0,38,12,0.8266285778398023,0.8228243115001024,30.427337530845318,27.624502208866687,4,-0.0333498354018+66.4597900334j; -0.0333498354018-66.4597900334j,-0.03334983540175929,stable,
0,2,1,0.1,1,0,38,12,0.8266285778398023,0.8228243115001024,30.427337530845318,27.624502208866687,4,-0.0333498354018+66.4597900334j; -0.0333498354018-66.4597900334j,-0.03334983540175929,stable,
0,2,1,0.2,1,0,38,12,0.8266285778398023,0.8228243115001024,30.427337530845318,27.624502208866687,4,-0.0333498354018+66.4597900334j; -0.0333498354018-66.4597900334j,-0.03334983540175929,stable,
0,2,2,0.05,1,0,38,12,0.5428653705528241,0.5381453584987734,49.41145793036069,44.59937891704002,4,0.00287514079857+53.8603629768j; 0.00287514079857-53.8603629768j,0.0028751407985741287,unstable,
0,2,2,0.1,1,0,38,12,0.5428653705528241,0.5381453584987734,49.41145793036069,44.59937891704002,4,0.00287514079857+53.8603629768j; 0.00287514079857-53.8603629768j,0.0028751407985741287,unstable,
0,2,2,0.2,1,0,38,12,0.5428653705528241,0.5381453584987734,49.41145793036069,44.59937891704002,4,0.00287514079857+53.8603629768j; 0.00287514079857-53.8603629768j,0.0028751407985741287,unstable,
0,2,5,0.05,1,0,38,12,0.151736352811096,0.163158258959629,67.29973601328409,60.024143005846014,4,0.00164885416469+28.4620311222j; 0.00164885416469-28.4620311222j,0.0016488541646879618,unstable,
0,2,5,0.1,1,0,38,12,0.151736352811096,0.163158258959629,67.29973601328409,60.024143005846014,4,0.00164885416469+28.4620311222j; 0.00164885416469-28.4620311222j,0.0016488541646879618,unstable,
0,2,5,0.2,1,0,38,12,0.151736352811096,0.163158258959629,67.29973601328409,60.024143005846014,4,0.00164885416469+28.4620311222j; 0.00164885416469-28.4620311222j,0.0016488541646879618,unstable,
0,4,1,0.05,1,0,38,12,0.9465567476023,0.9451412006965413,16.89335338452864,15.370855570237644,16,-0.0403722062539+207.637416612j; -0.0403722062539-207.637416612j; 0.0082691238548+52.7155459135j; 0.0082691238548-52.7155459135j,0.00826912385480368,unstable,
0,4,1,0.1,1,0,38,12,0.9465567226763834,0.945141173586191,16.893357322080515,15.370859366923902,12,-0.010011001099+207.584929255j; -0.010011001099-207.584929255j; 0.0080534590353+52.7092401623j; 0.0080534590353-52.7092401623j,0.00805345903530236,unstable,
0,4,1,0.2,1,0,38,12,0.9465567226763834,0.945141173586191,16.893357322080515,15.370859366923902,12,-0.010011001099+207.584929255j; -0.010011001099-207.584929255j; 0.0080534590353+52.7092401623j; 0.0080534590353-52.7092401623j,0.00805345903530236,unstable,
0,4,2,0.05,1,0,38,12,0.6997584121318423,0.697653346268479,40.03247772257504,36.07431430567253,16,-0.0116915608503+129.51430524j; -0.0116915608503-129.51430524j; 0.0224112330347+35.5776112746j; 0.0224112330347-35.5776112746j,0.022411233034673846,unstable,
0,4,2,0.1,1,0,38,12,0.6997584121318423,0.697653346268479,40.03247772257504,36.07431430567253,16,-0.0116915608503+129.51430524j; -0.0116915608503-129.51430524j; 0.0224112330347+35.5776112746j; 0.0224112330347-35.5776112746j,0.022411233034673846,unstable,
0,4,2,0.2,1,0,38,12,0.6997584121318423,0.697653346268479,40.03247772257504,36.07431430567253,16,-0.0116915608503+129.51430524j; -0.0116915608503-129.51430524j; 0.0224112330347+35.5776112746j; 0.0224112330347-35.5776112746j,0.022411233034673846,unstable,
0,4,5,0.05,1,0,38,12,0.23820053690861745,0.254985498594026,63.73223009305439,56.622935142827046,16,0.000478316261487+57.0880789273j; 0.000478316261487-57.0880789273j; -0.00144621527971+13.1225680905j; -0.00144621527971-13.1225680905j,0.00047831626148701586,unstable,
0,4,5,0.1,1,0,38,12,0.23820053690861745,0.254985498594026,63.73223009305439,56.622935142827046,16,0.000478316261487+57.0880789273j; 0.000478316261487-57.0880789273j; -0.00144621527971+13.1225680905j; -0.00144621527971-13.1225680905j,0.00047831626148701586,unstable,
0,4,5,0.2,1,0,38,12,0.23820053690861745,0.254985498594026,63.73223009305439,56.622935142827046,16,0.000478316261487+57.0880789273j; 0.000478316261487-57.0880789273j; -0.00144621527971+13.1225680905j; -0.00144621527971-13.1225680905j,0.00047831626148701586,unstable,
0,6,1,0.05,1,0,38,12,0.9741225682237982,0.9735407159913945,11.754601252267818,10.67316335470385,24,0.00972607954592+43.2719756911j; 0.00972607954592-43.2719756911j; -0.0283841263921+160.358877771j; -0.0283841263921-160.358877771j; -0.0582547925206+235.396587978j; -0.0582547925206-235.396587978j,0.009726079545918576,unstable,
0,6,1,0.1,1,0,38,12,0.974122545965793,0.9735406973660664,11.754606304917854,10.673167111813806,20,-0.0074562826472+43.2549506976j; -0.0074562826472-43.2549506976j; -0.0380408046859+160.313441089j; -0.0380408046859-160.313441089j; -0.00265732366373+235.356605816j; -0.00265732366373-235.356605816j,-0.002657323663729935,stable,
0,6,1,0.2,1,0,38,12,0.974122545965793,0.9735406973660664,11.754606304917854,10.673167111813806,20,-0.0074562826472+43.2549506976j; -0.0074562826472-43.2549506976j; -0.0380408046859+160.313441089j; -0.0380408046859-160.313441089j; -0.00265732366373+235.356605816j; -0.00265732366373-235.356605816j,-0.002657323663729935,stable,
0,6,2,0.05,1,0,38,12,0.7529690230607833,0.7514019001837111,36.30034290952544,32.71010079334201,36,0.0191477652553+162.73359967j; 0.0191477652553-162.73359967j; -0.00839931031524+96.1579374996j; -0.00839931031524-96.1579374996j; 0.0178067542018+25.837895926j; 0.0178067542018-25.837895926j,0.019147765255299286,unstable,
0,6,2,0.1,1,0,38,12,0.7529690230607833,0.7514019001837111,36.30034290952544,32.71010079334201,36,0.0191477652553+162.73359967j; 0.0191477652553-162.73359967j; -0.00839931031524+96.1579374996j; -0.00839931031524-96.1579374996j; 0.0178067542018+25.837895926j; 0.0178067542018-25.837895926j,0.019147765255299286,unstable,
0,6,2,0.2,1,0,38,12,0.7529690230607833,0.7514019001837111,36.30034290952544,32.71010079334201,36,0.0191477652553+162.73359967j; 0.0191477652553-162.73359967j; -0.00839931031524+96.1579374996j; -0.00839931031524-96.1579374996j; 0.0178067542018+25.837895926j; 0.0178067542018-25.837895926j,0.019147765255299286,unstable,
0,6,5,0.05,1,0,38,12,0.26304703837660703,0.28170899064805116,62.66796384111223,55.59985396769387,36,-0.00281824887891+62.742838514j; -0.00281824887891-62.742838514j; -0.00152374271189+9.4867591507j; -0.00152374271189-9.4867591507j; 0.00248798100965+43.9085266585j; 0.00248798100965-43.9085266585j,0.0024879810096504916,unstable,
0,6,5,0.1,1,0,38,12,0.26304703837660703,0.28170899064805116,62.66796384111223,55.59985396769387,36,-0.00281824887891+62.742838514j; -0.00281824887891-62.742838514j; -0.00152374271189+9.4867591507j; -0.00152374271189-9.4867591507j; 0.00248798100965+43.9085266585j; 0.00248798100965-43.9085266585j,0.0024879810096504916,unstable,
0,6,5,0.2,1,0,38,12,0.26304654861134386,0.28170863382983097,62.667984645340944,55.599867769426844,34,-0.00357065282672+62.7427996242j; -0.00357065282672-62.7427996242j; -0.00190328104166+9.48669092838j; -0.00190328104166-9.48669092838j; 0.00217834286729+43.9085046074j; 0.00217834286729-43.9085046074j,0.002178342867291987,unstable,
