dataset,channel,n_delays,delay_samples_after_downsample,downsample,lowpass_hz,normalize,threshold,degree,smooth_window,train_trials,test_trials,dt,train_score_r2,test_score_r2,nonzero_terms,min_train_embedded_samples,min_test_embedded_samples,status,error
fixation_only,0,6,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.9741225682237982,0.9735407159913945,24,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.974122545965793,0.9735406973660664,20,3517,3516,ok,
fixation_only,0,6,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.974122545965793,0.9735406973660664,20,3517,3516,ok,
fixation_only,0,4,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.9465567476023,0.9451412006965413,16,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.9465567226763834,0.945141173586191,12,3519,3518,ok,
fixation_only,0,4,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.9465567226763834,0.945141173586191,12,3519,3518,ok,
fixation_only,0,2,1,2,80.0,zscore,0.05,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,4,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.1,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,4,3521,3520,ok,
fixation_only,0,2,1,2,80.0,zscore,0.2,1,0,38,12,0.004,0.8266285778398023,0.8228243115001024,4,3521,3520,ok,
fixation_only,0,6,2,2,80.0,zscore,0.05,1,0,38,12,0.004,0.7529690230607833,0.7514019001837111,36,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.1,1,0,38,12,0.004,0.7529690230607833,0.7514019001837111,36,3512,3511,ok,
fixation_only,0,6,2,2,80.0,zscore,0.2,1,0,38,12,0.004,0.7529690230607833,0.7514019001837111,36,3512,3511,ok,
fixation_only,0,4,2,2,80.0,zscore,0.05,1,0,38,12,0.004,0.6997584121318423,0.697653346268479,16,3516,3515,ok,
fixation_only,0,4,2,2,80.0,zscore,0.1,1,0,38,12,0.004,0.6997584121318423,0.697653346268479,16,3516,3515,ok,
fixation_only,0,4,2,2,80.0,zscore,0.2,1,0,38,12,0.004,0.6997584121318423,0.697653346268479,16,3516,3515,ok,
